Test 1: 10/24, 1:00AM
Hidden Layer 1: 10, Hidden Layer 2: 0, Output classes: 12, Baseline: 53.13% (21.86%)
Hidden Layer 1: 10, Hidden Layer 2: 1, Output classes: 12, Baseline: 77.00% (18.71%)
Hidden Layer 1: 10, Hidden Layer 2: 2, Output classes: 12, Baseline: 64.73% (27.29%)
Hidden Layer 1: 10, Hidden Layer 2: 3, Output classes: 12, Baseline: 82.90% (30.62%)
Hidden Layer 1: 10, Hidden Layer 2: 4, Output classes: 12, Baseline: 98.70% (0.34%)
Hidden Layer 1: 10, Hidden Layer 2: 5, Output classes: 12, Baseline: 87.17% (22.59%)
Hidden Layer 1: 10, Hidden Layer 2: 6, Output classes: 12, Baseline: 98.87% (0.37%)
Hidden Layer 1: 10, Hidden Layer 2: 7, Output classes: 12, Baseline: 65.10% (27.55%)
Hidden Layer 1: 10, Hidden Layer 2: 8, Output classes: 12, Baseline: 87.57% (22.20%)
Hidden Layer 1: 10, Hidden Layer 2: 9, Output classes: 12, Baseline: 64.67% (27.70%)
Hidden Layer 1: 11, Hidden Layer 2: 0, Output classes: 12, Baseline: 29.23% (16.65%)
Hidden Layer 1: 11, Hidden Layer 2: 1, Output classes: 12, Baseline: 77.13% (19.45%)
Hidden Layer 1: 11, Hidden Layer 2: 2, Output classes: 12, Baseline: 80.90% (20.82%)
Hidden Layer 1: 11, Hidden Layer 2: 3, Output classes: 12, Baseline: 90.17% (16.75%)
Hidden Layer 1: 11, Hidden Layer 2: 4, Output classes: 12, Baseline: 98.77% (0.34%)
Hidden Layer 1: 11, Hidden Layer 2: 5, Output classes: 12, Baseline: 82.77% (21.33%)
Hidden Layer 1: 11, Hidden Layer 2: 6, Output classes: 12, Baseline: 99.00% (0.51%)
Hidden Layer 1: 11, Hidden Layer 2: 7, Output classes: 12, Baseline: 65.70% (27.13%)
Hidden Layer 1: 11, Hidden Layer 2: 8, Output classes: 12, Baseline: 67.27% (30.92%)
Hidden Layer 1: 11, Hidden Layer 2: 9, Output classes: 12, Baseline: 49.53% (26.89%)
Hidden Layer 1: 12, Hidden Layer 2: 0, Output classes: 12, Baseline: 51.77% (30.69%)
Hidden Layer 1: 12, Hidden Layer 2: 1, Output classes: 12, Baseline: 81.70% (16.03%)
Hidden Layer 1: 12, Hidden Layer 2: 2, Output classes: 12, Baseline: 85.13% (10.32%)
Hidden Layer 1: 12, Hidden Layer 2: 3, Output classes: 12, Baseline: 78.13% (31.14%)
Hidden Layer 1: 12, Hidden Layer 2: 4, Output classes: 12, Baseline: 68.00% (37.44%)
Hidden Layer 1: 12, Hidden Layer 2: 5, Output classes: 12, Baseline: 98.67% (0.32%)
Hidden Layer 1: 12, Hidden Layer 2: 6, Output classes: 12, Baseline: 76.33% (26.68%)
Hidden Layer 1: 12, Hidden Layer 2: 7, Output classes: 12, Baseline: 60.43% (32.20%)
Hidden Layer 1: 12, Hidden Layer 2: 8, Output classes: 12, Baseline: 54.40% (21.98%)
Hidden Layer 1: 12, Hidden Layer 2: 9, Output classes: 12, Baseline: 75.83% (27.30%)
Hidden Layer 1: 13, Hidden Layer 2: 0, Output classes: 12, Baseline: 40.43% (29.98%)
Hidden Layer 1: 13, Hidden Layer 2: 1, Output classes: 12, Baseline: 71.80% (16.19%)
Hidden Layer 1: 13, Hidden Layer 2: 2, Output classes: 12, Baseline: 89.83% (16.59%)
Hidden Layer 1: 13, Hidden Layer 2: 3, Output classes: 12, Baseline: 83.43% (30.55%)
Hidden Layer 1: 13, Hidden Layer 2: 4, Output classes: 12, Baseline: 83.00% (21.89%)
Hidden Layer 1: 13, Hidden Layer 2: 5, Output classes: 12, Baseline: 93.90% (9.62%)
Hidden Layer 1: 13, Hidden Layer 2: 6, Output classes: 12, Baseline: 61.17% (31.56%)
Hidden Layer 1: 13, Hidden Layer 2: 7, Output classes: 12, Baseline: 76.33% (27.36%)
Hidden Layer 1: 13, Hidden Layer 2: 8, Output classes: 12, Baseline: 56.33% (27.42%)
Hidden Layer 1: 13, Hidden Layer 2: 9, Output classes: 12, Baseline: 60.67% (31.58%)
Hidden Layer 1: 14, Hidden Layer 2: 0, Output classes: 12, Baseline: 69.23% (13.78%)
Hidden Layer 1: 14, Hidden Layer 2: 1, Output classes: 12, Baseline: 80.97% (15.87%)
Hidden Layer 1: 14, Hidden Layer 2: 2, Output classes: 12, Baseline: 81.83% (16.11%)
Hidden Layer 1: 14, Hidden Layer 2: 3, Output classes: 12, Baseline: 98.13% (0.62%)
Hidden Layer 1: 14, Hidden Layer 2: 4, Output classes: 12, Baseline: 98.17% (0.73%)
Hidden Layer 1: 10, Hidden Layer 2: 0, Output classes: 12, Baseline: 53.17% (22.01%)
Hidden Layer 1: 10, Hidden Layer 2: 1, Output classes: 12, Baseline: 77.00% (18.71%)
Hidden Layer 1: 10, Hidden Layer 2: 2, Output classes: 12, Baseline: 64.67% (27.23%)
Hidden Layer 1: 14, Hidden Layer 2: 5, Output classes: 12, Baseline: 83.00% (21.47%)
Hidden Layer 1: 10, Hidden Layer 2: 3, Output classes: 12, Baseline: 82.80% (30.57%)
Hidden Layer 1: 10, Hidden Layer 2: 4, Output classes: 12, Baseline: 98.67% (0.38%)
Hidden Layer 1: 10, Hidden Layer 2: 5, Output classes: 12, Baseline: 76.40% (27.28%)
Hidden Layer 1: 10, Hidden Layer 2: 6, Output classes: 12, Baseline: 98.80% (0.44%)
Hidden Layer 1: 10, Hidden Layer 2: 7, Output classes: 12, Baseline: 65.30% (27.59%)
Hidden Layer 1: 10, Hidden Layer 2: 8, Output classes: 12, Baseline: 67.50% (30.08%)
Hidden Layer 1: 14, Hidden Layer 2: 6, Output classes: 12, Baseline: 61.40% (31.48%)
Hidden Layer 1: 10, Hidden Layer 2: 9, Output classes: 12, Baseline: 64.90% (27.51%)
Hidden Layer 1: 14, Hidden Layer 2: 7, Output classes: 12, Baseline: 56.40% (35.57%)
Hidden Layer 1: 14, Hidden Layer 2: 8, Output classes: 12, Baseline: 40.67% (29.93%)
Hidden Layer 1: 14, Hidden Layer 2: 9, Output classes: 12, Baseline: 45.13% (28.72%)
Hidden Layer 1: 15, Hidden Layer 2: 0, Output classes: 12, Baseline: 44.83% (30.84%)
Hidden Layer 1: 15, Hidden Layer 2: 1, Output classes: 12, Baseline: 79.77% (16.04%)
Hidden Layer 1: 15, Hidden Layer 2: 2, Output classes: 12, Baseline: 87.07% (22.37%)
Hidden Layer 1: 15, Hidden Layer 2: 3, Output classes: 12, Baseline: 94.47% (8.33%)
Hidden Layer 1: 15, Hidden Layer 2: 4, Output classes: 12, Baseline: 99.00% (0.37%)
