TP: 26227, FP: 1, FN: 2, TN: 23770
TP: 1789, FP: 802, FN: 2, TN: 2407
TP: 26227, FP: 1, FN: 2, TN: 23770
TP: 7453, FP: 33, FN: 25, TN: 7489
TP: 7471, FP: 15, FN: 27, TN: 7487
TP: 7470, FP: 16, FN: 27, TN: 7487
TP: 7111, FP: 797, FN: 2, TN: 7090
TP: 7111, FP: 797, FN: 2, TN: 7090
TP: 7472, FP: 14, FN: 27, TN: 7487
TP: 7111, FP: 797, FN: 2, TN: 7090
TP: 3897, FP: 2, FN: 7761, TN: 3340
TP: 3897, FP: 2, FN: 7761, TN: 3340
TP: 6744, FP: 6, FN: 12, TN: 8238
TP: 6744, FP: 6, FN: 12, TN: 8238
TP: 6744, FP: 6, FN: 12, TN: 8238
TP: 6744, FP: 6, FN: 12, TN: 8238
TP: 6744, FP: 6, FN: 12, TN: 8238
TP: 5258, FP: 5, FN: 931, TN: 3806
TP: 5258, FP: 5, FN: 937, TN: 3800
TP: 5258, FP: 5, FN: 932, TN: 3805
TP: 5258, FP: 5, FN: 931, TN: 3806
TP: 6744, FP: 6, FN: 12, TN: 8238
